1,21,1
2,23,2
3,24,3
4,25,4
5,26,5
6,27,6
7,28,7
8,29,8
9,30,9
10,31,10
11,32,11
12,33,12
13,34,13
14,35,14
15,36,15
16,37,16
17,38,17
18,39,18
19,40,19
20,41,20
21,44,23
25,49,28
23,47,26
22,78,24
26,50,29
24,48,27
27,51,30
28,51,31
29,53,32
30,54,33
31,55,34
32,56,35
33,57,36
34,58,37
35,59,38
36,60,39
37,61,40
38,62,41
39,63,42
40,64,43
41,65,54
42,66,55
43,67,21
44,68,56
45,69,57
46,29,8
47,71,58
48,72,22
49,25,4
50,74,59
51,75,60
52,76,61
53,77,62
54,78,24
55,79,63
56,80,64
57,81,65
58,82,66
59,64,43
60,84,67
61,85,68
62,86,69
63,87,70
64,88,71
65,54,33
66,90,73
67,91,74
68,92,75
69,93,76
70,94,77
71,95,78
72,96,79
73,97,80
74,100,83
75,101,84
76,102,85
77,103,86
78,104,87
79,46,25
80,47,26
81,36,6
82,75,1
83,103,30
84,103,31
85,50,59
86,51,86
